idno,univ,year,date,title,count
cu0581,CUHK,2007,2007-11-25,CUHK kicked off the Afforestation Scheme Arbour of Ten Thousand Trees,1
pu1453,PolyU,2008,2008-09-22,PolyU to hold Education Info Day,1
pu0356,PolyU,2004,2004-01-10,First Asia-Pacific regional adolescent health congress opens,1
cu0509,CUHK,2008,2008-07-08,"University, Hospital and Community Partnership Launch Ceremony of “Caring for Yourself – Managing your Diabetes” Website",1
hu1172,HKU,2014,2014-11-08,HKU holds Information Day for Undergraduate Admissions 2014,1
cu1233,CUHK,2012,2012-01-19,20th Anniversary of CUHK Department of Japanese Studies Making Dreams Come True: Celebrating Two Decades of Sending Students to Japan ,1
cu0284,CUHK,2009,2009-03-08,All-round CUHK Students with Eye on the World,1
cu1641,CUHK,2013,2013-10-02,CUHK and Shun Hing Group Present the Lecture Series in Arts and Humanities Renowned Sculptor Prof. Wu Weishan Shares the Cultural Perspective on his Sculpture,1
hu0393,HKU,2005,2005-03-11,Canadian Computing Competition Award Presentation Ceremony (Press Invitation),1
pu6172,PolyU,2015,2015-12-08,PolyU develops Novel Intelligent Transportation System for Personalized Reliable Driving Routes,1
pu1749,PolyU,2005,2005-09-30,PolyU and Australian Wool Innovation enter into partnership agreement,1
hu1010,HKU,2011,2011-04-04,HKU 2012 – Talk on 4-Year Undergraduate Curriculum,1
cu1559,CUHK,2013,2013-05-21,CU Chorus 40th Anniversary Concert ‘Northern Lights: Music of Ola Gjeilo’ An illustrious choral journey with warmth and aura ,1
hu0306,HKU,2013,2013-04-19,HKU holds the Seventh Inauguration of Endowed Professorships,1
pu2731,PolyU,2014,2014-05-20,PolyU Signed Tripartite Agreement with Ecole hôtelière de Lausanne and University of Houston Conrad N. Hilton College of Hotel and Restaurant Management,1
hu0010,HKU,2010,2010-06-24,HKU Foundation Scholarships for Outstanding Students,1
cu2146,CUHK,2015,2015-12-08,CUHK United College Holds the Kick-off Ceremony for its 60th Anniversary Activities,1
cu1789,CUHK,2014,2014-04-06,Intel Donates HKD 14 million Worth of Development Tools to CUHK to Cultivate Embedded Systems Talents,1
pu1872,PolyU,2010,2010-04-13,PolyU nurtures future entrepreneurs,1
pu1036,PolyU,2008,2008-09-24,Honour for young engineering talents,1
pu2653,PolyU,2013,2013-11-27,PolyU pays tribute to six distinguished Chinese visiting scholars,1
hu0483,HKU,2015,2015-04-27,HKU Centre on Behavioral Health releases survey findings on Hong Kong people’s changing attitude towards death New Trend towards Eco- and Co-burial,1
pu1919,PolyU,2010,2010-06-29,PolyU makes successful foray in TCM Medical Biometrics,1
cu3472,CUHK,2004,2004-11-30,"CUHK's Department of Marketing Releases Findings on ""The Business Opportunity and Crisis of Individual Mainland Visitors""",1
hu0694,HKU,2015,2015-10-19,HKU WAY Project to launch a Mobile Living Museum in Stanley in2016 spring anda new book on oral histories to disseminate the culture of fisheries and water communities in Aberdeen,1
cu3224,CUHK,2004,2004-01-10,A New Gene Found to Have Implication in Defective Pancreatic Secretion,1
cu0340,CUHK,2008,2008-12-03,SHKP and CUHK Presenting Lecture  by Nobel Laureate in Economic Sciences Free Tickets Available,1
pu2388,PolyU,2012,2012-10-07,PolyU study reveals increasing trend of high myopia among Hong Kong school children,1
cu0936,CUHK,2010,2010-10-20,Renowned Anthropologist Dorinne Kondo to Lecture at CUHK Now Open for Public Registration,1
cu3254,CUHK,2004,2004-11-30,The book lunch of C.Y. Tung Diary and The World of C.Y. Tung,1
hu1013,HKU,2005,2005-11-16,Hindu Goddess Blesses University Gamelan,1
cu0895,CUHK,2010,2010-11-12,Dr Leung Chun-ying Lectures at The Chinese University of Hong Kong,1
cu3648,CUHK,2003,2003-09-25,CUHK Establishes the Centre for Emerging Infectious Diseases,1
cu1408,CUHK,2012,2012-10-11,Planning of The Chinese University of Hong Kong (Shenzhen) Approved by the State Ministry of Education ,1
pu0614,PolyU,2005,2005-12-06,PolyU takes the lead to set up Chinese Consortium for Higher Nursing Education,1
pu0922,PolyU,2007,2007-11-16,PolyU students show commitment for community services,1
pu0833,PolyU,2007,2007-05-02,PolyU wins top honours in Geneva’s Invention Expo,1
cu0906,CUHK,2010,2010-12-05,CUHK Department of Electronic Engineering Celebrates 40th Anniversary,1
cu0285,CUHK,2009,2009-03-06,CUHK Wei Lun Public Lecture Presents “Gene-Environment Interactions in Lung Cancer”  by Professor David Christiani from Harvard School of Public Health,1
pu2250,PolyU,2012,2012-02-21,PolyU and HKPC jointly launch HK SME Business Sustainability Index,1
pu1184,PolyU,2009,2009-07-12,PolyU President leads delegation to Hangzhou,1
cu1132,CUHK,2011,2011-09-27,CUHK Discovers Up to 30% of Asymptomatic Subjects in Hong Kong Suffered from Pre-cancerous Bowel Tumors ,1
pu1689,PolyU,2006,2006-10-05,PolyU wins five awards in 16th China Invention Exhibition,1
hu1392,HKU,2010,2010-03-03,HKU’s First-in-the-Family Education Fund receives two international awards,1
cu1331,CUHK,2012,2012-06-13,In Memory of Professor Hu Shiu-ying,1
pu1229,PolyU,2009,2009-11-02,PolyU to confer University Fellowship on 8 distinguished personalities,1
pu2013,PolyU,2010,2010-12-01,PolyU China South City Invitation Golf Tournament kicks off,1
pu2350,PolyU,2012,2012-09-13,Opening of Executive Training Floors at PolyU,1
hu0651,HKU,2015,2015-03-12,The science behind the dress colour debate: Human brain scientist holds public lectures at HKU to reveal the science and art of visual illusions,1
hu1039,HKU,2004,2004-02-12,Distinguished Visiting Professor of Education to Deliver Lecture,1
cu3575,CUHK,2003,2003-08-01,Advice from the Champion: Entrepreneurship is About Playing to Win,1
cu1387,CUHK,2012,2012-09-14,CUHK and US Experts Collaborate to Provide Clinical Genetic Training　Set up The Territory’s First One-Stop Outpatient Genetic Clinic ,1
pu1538,PolyU,2006,2006-06-06,PolyU's new top-up degree programme develops students' English language competence in business and professional communication,1
hu0737,HKU,2014,2014-07-03,HKU announces 2014 Q3 HK Macroeconomic Forecast,1
cu2228,CUHK,2016,2016-04-04,CUHK Hosts Distinguished Lecture by Dr. Shang-Jin Wei on “The Economic Outlook of Asia Pacific in 2016”,1
pu2409,PolyU,2012,2012-11-21,PolyU team wins third place in International Engineering Design Contest,1
cu0578,CUHK,2007,2007-11-28,SHKP-CUHK Tin Shui Wai Family Mental Health Campaign,1
hu1031,HKU,2005,2005-09-20,World Community Grid Gains Momentum in Hong Kong,1
pu2246,PolyU,2012,2012-02-17,"Chief Secretary unveils sculpture ""Vision""",1
pu2261,PolyU,2012,2012-02-29,PolyU hosts Symposium on Apparel for the Elderly and the Disabled with Special Needs,1
pu1709,PolyU,2006,2006-04-04,Residents have mixed opinions towards Hong Kong Disneyland,1
cu3197,CUHK,2003,2003-07-07,"Noted Actuary, Healthcare Experts and Business LeadersTo Confer on Post-SARS Crisis Management Issues",1
pu6205,PolyU,2016,2016-03-16,PolyU Develops Integrated iWheelchair System,1
pu1682,PolyU,2006,2006-11-22,PolyU scholar conferred renowned French national award,1
pu1921,PolyU,2010,2010-06-29,PolyU launches the 2010 Compensation and Benefit Model to stay competitive in the higher education sector,1
cu1816,CUHK,2014,2014-05-20,CUHK and Videotage to Explore Relationship Between ‘Walking’ and Artistic or Scholarly Expression,1
hu1019,HKU,2008,2008-04-02,HKU Announced 2008 Q2 HK Macroeconomic Forecast,1
pu1917,PolyU,2010,2010-06-25,Technology Conference on Renewal Energy kicks off at PolyU,1
pu1700,PolyU,2006,2006-05-22,PolyU scholar named International Scientist of the Year,1
pu2571,PolyU,2013,2013-07-23,PolyU design students win 2nd prize in national competition with “smart pill box for elderly”,1
cu0087,CUHK,2010,2010-01-08,Inauguration Ceremony cum Symposium of CUHK School of Biomedical Sciences Held Today,1
hu0581,HKU,2012,2012-04-20,The Sixth Inauguration of Endowed Professorships at HKU,1
cu2253,CUHK,2016,2016-05-03,CUHK Jockey Club Initiative Gaia Holds the ‘What’s Next After COP21?’ Forum,1
hu0042,HKU,2011,2011-06-22,"Over 10,000 students from the Mainland apply for HKU in 2011",1
cu0240,CUHK,2009,2009-04-30,The Fifth Chinese Universities Shakespeare Festival Performance Finals ,1
hu1334,HKU,2005,2005-06-24,Three New Student Halls at HKU to open this summer (Press Invitation),1
cu1750,CUHK,2014,2014-02-03,CUHK United College Students Set up Toy Libraries for Orphanages and Schools in Northern Myanmar,1
hu1204,HKU,2005,2005-07-07,Economic Growth will Slow Down According to HKU APEC Study Center (Press Release),1
cu0237,CUHK,2009,2009-05-07,CUMBA student-led CSR Conference 2009 Introducing CSR as a Competitive Edge for Companies to Create Sustainable Impact ,1
hu0328,HKU,2003,2003-01-14,The Genome Research Centre at HKU to collaborate with leading Canadian genomics centre (Press Invitation),1
pu6119,PolyU,2015,2015-06-23,PolyU develops big data analysis platform to unveil gene interactions in cancer,1
cu1366,CUHK,2012,2012-08-10,CUHK ISEIS Supports Government Departments in Pellets Clean-up,1
cu0881,CUHK,2010,2010-10-07,CUHK Urges Formulation of a  Sustainable Tree Strategy for Better Tree Management ,1
cu1774,CUHK,2014,2014-03-18,CUHK Art Museum Receives Major Art Gifts Two Valuable Paintings by Lui Shou-kwan Enrich CUHK Contemporary Art Collection,1
pu2442,PolyU,2013,2013-01-18,PolyU students win Best Design Team at Tsinghua University Art &amp; Design Month,1
cu3769,CUHK,2004,2004-03-21,Highest Honour for World Famous Mathematican Yau Shing Tung,1
