	idno	univ	year	date	title	count	0	2	4	1	3	6	7	9	8	5
97	pu1679	PolyU	2006	2006-12-04	PolyU President’s Awards honour distinguished staff	1	0.14106813	0.0	0.85487074	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98	cu3088	CUHK	2004	2004-11-30	Survey on The Hong Kong Female Sex Workers' Clients 2004	1	0.0	0.0	0.42957923	0.56849307	0.0	0.0	0.0	0.0	0.0	0.0
99	pu0376	PolyU	2003	2003-11-13	PolyU organizes second golf tournament to raise funds on the green	1	0.84901553	0.0	0.14911872	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	cu1869	CUHK	2014	2014-08-27	CUHK Releases Survey Findings on Public’s Views on Residential Land Supply and Property Prices of Hong Kong	1	0.32052466	0.0	0.32074466	0.0972743	0.25976682	0.0	0.0	0.0	0.0	0.0
101	cu3507	CUHK	2005	2005-09-29	High Prevalence of Undiagnosed Diabetes and Kidney Damage in Hypertensive Population	1	0.0	0.0	0.18244411	0.0	0.0	0.0	0.29099137	0.0	0.12080526	0.40360135
102	hu0295	HKU	2008	2008-01-29	Professor Chow Shew-Ping appointed HKU Pro-Vice-Chancellor for University Relations and Dr Albert Chau reappointed HKU Dean of Student Affairs	1	0.0	0.0	0.0	0.08419095	0.73437184	0.17017336	0.0	0.0	0.0	0.0
103	cu1790	CUHK	2014	2014-04-03	CUHK and Harvard Establish Collaboration in Research, Education and Training to Promote Human Health and Well-being	1	0.6367649	0.0	0.15142232	0.14423208	0.0	0.0	0.06508706	0.0	0.0	0.0
104	cu3360	CUHK	2006	2006-11-16	Naming Ceremony of the Stanley Ho Centre for Emerging Infectious Diseases          	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99791455	0.0	0.0
105	cu0514	CUHK	2007	2007-08-31	Air Pollution Significantly Increases Hospital Admissions for Asthma Patients	1	0.0	0.0	0.092073485	0.073205926	0.0	0.0	0.74447906	0.0	0.0	0.08914615
106	cu1104	CUHK	2011	2011-08-18	CUHK Faculty of Education Research on 'Economic Returns to Postsecondary Sub-degree Education' Reveals Great Development Potential of Higher Diploma and Associate Degree Programmes 	1	0.0	0.0	0.23556489	0.0	0.0	0.0	0.04629984	0.0	0.71524704	0.0
107	pu0567	PolyU	2005	2005-07-27	PolyU wins international acclaim on alumni development and fund-raising	1	0.11155564	0.0	0.0	0.0	0.0	0.23799248	0.3360391	0.31257123	0.0	0.0
108	pu1645	PolyU	2010	2010-02-04	PolyU honours outstanding students of the year	1	0.5640491	0.0	0.0	0.18228737	0.25281313	0.0	0.0	0.0	0.0	0.0
109	cu3120	CUHK	2006	2006-08-02	¡¥CUHK¡¦ Hong Kong Quality of Life Index	1	0.0	0.0	0.023353625	0.0	0.0	0.33331096	0.0	0.6029775	0.0	0.03824882
110	pu0920	PolyU	2007	2007-11-14	1st International Nurse Educators Conference kicks off at PolyU	1	0.0	0.0	0.0	0.0	0.0	0.0	0.37259883	0.62443876	0.0	0.0
111	pu6042	PolyU	2014	2014-10-10	"J.C.DISI ""10 Day"" Social Innovation Festival kicked off at PolyU with 70 activities organized in 10 consecutive days"	1	0.12930706	0.0	0.0	0.0	0.35307452	0.29059678	0.0	0.0	0.22552319	0.0
112	cu2291	CUHK	2016	2016-06-29	CUHK Researcher Pioneers Use of Social Robot to Enhance Gestural Communication Skills of Autistic Children 	1	0.9224267	0.07538706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
113	hu1365	HKU	2013	2013-11-07	HKU research team launches public consultation on  “Study on the Future Development of Retirement Security in Hong Kong”	1	0.0	0.0	0.270743	0.72667974	0.0	0.0	0.0	0.0	0.0	0.0
114	hu0758	HKU	2012	2012-01-04	Szeto Wah Collection Turnover Ceremony cum Exhibition	1	0.16968244	0.0	0.0	0.0	0.0	0.19381028	0.0	0.6335801	0.0	0.0
115	pu2208	PolyU	2011	2011-11-09	Russian spacecraft carrying PolyU-made instrument blasts off	1	0.6678915	0.0	0.0	0.050735828	0.2770263	0.0	0.0	0.0	0.0	0.0
116	cu0387	CUHK	2008	2008-10-16	Citibank Launches University Banking Course 2008-2009 with The Chinese University of Hong Kong Practical banking knowledge and essential workplace skillset  foster all-rounded future leaders	1	0.47853407	0.0	0.0	0.0	0.19987552	0.20939587	0.0	0.10809301	0.0	0.0
117	cu0281	CUHK	2009	2009-03-10	Inaugural graduation class of the Credit Suisse - The Chinese University of Hong Kong (CUHK) Professional Diploma in Global Finance	1	0.0	0.0	0.0	0.0	0.0	0.42367148	0.14218315	0.0	0.09593147	0.3344236
118	pu2201	PolyU	2011	2011-12-01	"Naming of ""Henry G. Leong Memorial Classroom"" at PolyU"	1	0.20394756	0.0	0.10838173	0.0	0.6565766	0.0	0.0	0.0	0.028970035	0.0
119	hu1161	HKU	2008	2008-07-03	HKU Announced 2008 Q3 HK Macroeconomic Forecast	1	0.6884851	0.0	0.24381305	0.0664026	0.0	0.0	0.0	0.0	0.0	0.0
120	pu2658	PolyU	2013	2013-12-02	PolyU expert makes first space tool for lunar exploration	1	0.0	0.0	0.5098389	0.48690334	0.0	0.0	0.0	0.0	0.0	0.0
121	hu0411	HKU	2015	2015-10-29	HKU hosts Equal Opportunity Festival 2015	1	0.38751498	0.0	0.035880446	0.5710011	0.0	0.0	0.0	0.0	0.0	0.0
122	cu2301	CUHK	2016	2016-07-11	CUHK Wins Top Prizes at ‘Challenge Cup’ National Competition Hong Kong Regional Final	1	0.6872184	0.0	0.0	0.0	0.3065048	0.0	0.0	0.0	0.0	0.0
123	cu3163	CUHK	2005	2005-06-24	CUHK and HKIEd Councils approve principles for deep collaboration	1	0.0	0.0	0.59671235	0.30423754	0.0	0.0	0.0	0.0	0.09327195	0.0
124	pu0502	PolyU	2005	2005-05-09	Novel treatment for Liver Cancer gains international recognition	1	0.0	0.0	0.61342597	0.38084048	0.0	0.0	0.0	0.0	0.0	0.0
125	cu0822	CUHK	2009	2009-01-07	CUHK Conferred Honorary Doctorate upon Nobel Laureate Louis J. Ignarro Public Lecture on his Success Story Held Today	1	0.6206498	0.0	0.0	0.090607785	0.0	0.0	0.1481919	0.13697708	0.0	0.0
126	hu0968	HKU	2015	2015-04-20	HKU Vice-President Professor Ian Holliday meets student representatives on matters related to widening students’ learning experience	1	0.07445415	0.0	0.12717168	0.05463884	0.11689291	0.625535	0.0	0.0	0.0	0.0
127	hu0725	HKU	2012	2012-09-27	Dedication &amp; Opening Ceremony of Level 3, Main Library a technology rich, collaborative and flexible facility for student learning	1	0.0	0.0	0.0	0.0	0.046526488	0.0	0.0	0.0	0.17605048	0.7752932
128	cu1999	CUHK	2015	2015-04-01	CUHK Physicist Unveils Mystery of Massive Star Formation	1	0.6030213	0.0	0.0	0.0	0.34823787	0.044289522	0.0	0.0	0.0	0.0
