,author,title,gender,sizecat,canonicity,timeslot
FRA1005_Boisgobey-032,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-033,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-034,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-035,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-036,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-037,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-038,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-039,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-040,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-041,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-042,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-043,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-044,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-045,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-046,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-047,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-048,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-049,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-050,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
FRA1005_Boisgobey-051,"Boisgobey, Fortuné du",Le crime de l'omnibus : ELTeC edition,M,medium,low,T3
